uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
285692	|	206555	|	Trichuris sp. ex Chlorocebus aethiops JP-2011	|	species	|	ncbi:1035821	|	Trichuris sp. ex Chlorocebus aethiops JP-2011 (ncbi:1035821)	|		|	
285304	|	206555	|	Trichuris sp. ex Homo sapiens JP-2011	|	species	|	ncbi:1035824	|	Trichuris sp. ex Homo sapiens JP-2011 (ncbi:1035824)	|		|	
272667	|	206555	|	Trichuris sp. ex Theropithecus gelada JP-2011	|	species	|	ncbi:1035831	|	Trichuris sp. ex Theropithecus gelada JP-2011 (ncbi:1035831)	|		|	
206556	|	206555	|	Trichuris trichiura	|	species	|	ncbi:36087,gbif:4554218	|		|		|	
183498	|	206555	|	Trichuris sp. ex Papio hamadryas JP-2011	|	species	|	ncbi:1035830	|	Trichuris sp. ex Papio hamadryas JP-2011 (ncbi:1035830)	|		|	
45920	|	206555	|	Trichuris sp. H41	|	species	|	ncbi:1005921	|	Trichuris sp. H41 (ncbi:1005921)	|		|	
3590163	|	206555	|	Trichuris opaca	|	species	|	gbif:4554201	|		|		|	
3590162	|	206555	|	Trichuris spalacis	|	species	|	gbif:4554202	|		|		|	
3590164	|	206555	|	Trichuris tarandi	|	species	|	gbif:4554204	|		|		|	
3590166	|	206555	|	Trichuris feliui	|	species	|	gbif:4554208	|		|		|	
3590165	|	206555	|	Trichuris infundibulus	|	species	|	gbif:4554209	|		|		|	
3590160	|	206555	|	Trichuris capreoli	|	species	|	gbif:4554206	|		|		|	
3590161	|	206555	|	Trichuris guevarai	|	species	|	gbif:4554197	|		|		|	
3590171	|	206555	|	Trichuris myocastoris	|	species	|	gbif:4554225	|		|		|	
3590170	|	206555	|	Trichuris lani	|	species	|	gbif:4554223	|		|		|	
3590169	|	206555	|	Trichuris cervicaprae	|	species	|	gbif:4554220	|		|		|	
3590168	|	206555	|	Trichuris globulosa	|	species	|	gbif:4554221	|		|		|	
3590167	|	206555	|	Trichuris sylvilagi	|	species	|	gbif:4554228	|		|		|	
14736	|	405870	|	Anatrichosoma	|	genus	|	ncbi:119100,gbif:4629920	|		|		|	
14737	|	14736	|	Anatrichosoma haycocki	|	species	|	ncbi:119101	|		|		|	
3590180	|	405870	|	Capilaria	|	genus	|	gbif:2283368	|		|		|	
3590179	|	3590180	|	Capilaria echenei	|	species	|	gbif:2283369	|		|		|	
3590187	|	3590180	|	Capilaria salvelina	|	species	|	gbif:2283370	|		|		|	
3590172	|	405870	|	Thominx	|	genus	|	gbif:2283373	|		|		|	
3590190	|	3590172	|	Thominx catenata	|	species	|	gbif:2283374	|		|		|	
3590198	|	405870	|	Trinchocephalus	|	genus	|	gbif:4629939	|		|	barren	|	
3590197	|	405870	|	Crossicapillaria	|	genus	|	gbif:4629919	|		|	barren	|	
3590196	|	405870	|	Trichozephalus	|	genus	|	gbif:4629918	|		|	barren	|	
3590188	|	405870	|	Hepaticola	|	genus	|	gbif:2283375	|		|		|	
3590191	|	3590188	|	Hepaticola petruschewskii	|	species	|	gbif:2283376	|		|		|	
3590184	|	405870	|	Skrjabinocapillaria	|	genus	|	gbif:2283371	|		|		|	
3590183	|	3590184	|	Skrjabinocapillaria bakeri	|	species	|	gbif:2283372	|		|		|	
3590174	|	405870	|	Pseudocapillaria	|	genus	|	gbif:4346530	|		|		|	
3590176	|	3590174	|	Pseudocapillaria bainae	|	species	|	gbif:4346531	|		|		|	
3590186	|	3590174	|	Pseudocapillaria adriatica	|	species	|	gbif:4346532	|		|		|	
3590173	|	3590174	|	Pseudocapillaria salvelini	|	species	|	gbif:4346533	|		|		|	
